(0) Datum;(1) Zeit;(2) Qb-Durchflussrate [m3/h];(3) vavg-Gasgeschwindigkeit Mittelwert [m/s];(4) cavg-Schallgeschwindigkeit Mittelwert [m/s];(5) Vb1-Betriebsvolumen Fr1 [m3];(6) Vb2-Betriebsvolumen Fr2 [m3];(7) VbS1-Betriebs-Störvolumen Fr1 [m3];(8) VbS2-Betriebs-Störvolumen Fr2 [m3];(9) pm-Druck [bar];(10) tm-Temperatur [°C];(11) Reynoldszahl;(12) Asymmetrie;(13) Querfluss;(14) Drall [m/s];(15) Pfad 1/FR1/Laufzeit[ns];(16) Pfad 1/FR2/Laufzeit[ns];(17) Pfad 1/Gasgeschwindigkeit[m/s];(18) Pfad 1/Schallgeschwindigkeit;(19) Pfad 1/Fehler [%];(20) Pfad 1/FR1/Verstörkung[dB];(21) Pfad 1/FR2/Verstörkung[dB];(22) Pfad 1/FR1/Signal-Rausch-Verhältnis;(23) Pfad 1/FR2/Signal-Rausch-Verhältnis;(24) Pfad 1/FR1/RMS[dB];(25) Pfad 1/FR2/RMS[dB];(26) Pfad 2/FR1/Laufzeit[ns];(27) Pfad 2/FR2/Laufzeit[ns];(28) Pfad 2/Gasgeschwindigkeit[m/s];(29) Pfad 2/Schallgeschwindigkeit;(30) Pfad 2/Fehler [%];(31) Pfad 2/FR1/Verstärkung[dB];(32) Pfad 2/FR2/Verstärkung[dB];(33) Pfad 2/FR1/Signal-Rausch-Verhältnis;(34) Pfad 2/FR2/Signal-Rausch-Verhältnis;(35) Pfad 2/FR1/RMS[dB];(36) Pfad 2/FR2/RMS[dB];(37) Pfad 3/FR1/Laufzeit[ns];(38) Pfad 3/FR2/Laufzeit[ns];(39) Pfad 3/Gasgeschwindigkeit[m/s];(40) Pfad 3/Schallgeschwindigkeit;(41) Pfad 3/Fehler [%];(42) Pfad 3/FR1/Verstärkung[dB];(43) Pfad 3/FR2/Verstärkung[dB];(44) Pfad 3/FR1/Signal-Rausch-Verhältnis;(45) Pfad 3/FR2/Signal-Rausch-Verhältnis;(46) Pfad 3/FR1/RMS[dB];(47) Pfad 3/FR2/RMS[dB];(48) Pfad 4/FR1/Laufzeit[ns];(49) Pfad 4/FR2/Laufzeit[ns];(50) Pfad 4/Gasgeschwindigkeit[m/s];(51) Pfad 4/Schallgeschwindigkeit;(52) Pfad 4/Fehler [%];(53) Pfad 4/FR1/Verstärkung[dB];(54) Pfad 4/FR2/Verstärkung[dB];(55) Pfad 4/FR1/Signal-Rausch-Verhältnis;(56) Pfad 4/FR2/Signal-Rausch-Verhältnis;(57) Pfad 4/FR1/RMS[dB];(58) Pfad 4/FR2/RMS[dB];(59) Pfad 5/FR1/Laufzeit[ns];(60) Pfad 5/FR2/Laufzeit[ns];(61) Pfad 5/Gasgeschwindigkeit[m/s];(62) Pfad 5/Schallgeschwindigkeit;(63) Pfad 5/Fehler [%];(64) Pfad 5/FR1/Verstärkung[dB];(65) Pfad 5/FR2/Verstärkung[dB];(66) Pfad 5/FR1/Signal-Rausch-Verhältnis;(67) Pfad 5/FR2/Signal-Rausch-Verhältnis;(68) Pfad 5/FR1/RMS[dB];(69) Pfad 5/FR2/RMS[dB];(70) Pfad 6/FR1/Laufzeit[ns];(71) Pfad 6/FR2/Laufzeit[ns];(72) Pfad 6/Gasgeschwindigkeit[m/s];(73) Pfad 6/Schallgeschwindigkeit;(74) Pfad 6/Fehler [%];(75) Pfad 6/FR1/Verstärkung[dB];(76) Pfad 6/FR2/Verstärkung[dB];(77) Pfad 6/FR1/Signal-Rausch-Verhältnis;(78) Pfad 6/FR2/Signal-Rausch-Verhältnis;(79) Pfad 6/FR1/RMS[dB];(80) Pfad 6/FR2/RMS[dB];(81) Pulsrate Pulsausgang 1 [Hz];(82) Pulsrate Pulsausgang 2 [Hz];(83) Vo1-Original Volumen Fr1 [m3];(84) Vo2-Original Volumen Fr2 [m3]
15.10.2024;09:10:22;3321,05;28,522;407,69;78,33;0;0;36,07;46,0563;19,51;16599052;1,8248;-0,9893;-6,6675;462013;495514;29,22;407,7;0;5,0781;5,8594;88;91;54;56;569066;612522;30,576;407,5;0;5,8594;6,6406;89;91;56;55;464427;492787;24,874;407,87;0;5,0781;5,8594;87;89;52;55;463371;493285;26,189;407,66;0;5,0781;5,8594;87;91;59;54;569874;612022;29,785;407,53;0;6,6406;6,6406;90;92;56;54;462176;495749;29,542;407,83;0;5,8594;5,8594;91;94;56;54;1330,35;1330,35;78,33;36,07
15.10.2024;09:10:23;3322,25;28,5324;407,59;79,25;0;0;36,07;46,072;19,51;16579343;1,5085;-0,6383;-6,6632;462149;495485;29,448;407,65;0;5,0781;5,8594;89;92;55;54;569418;612875;30,668;407,25;0;5,8594;6,6406;88;91;54;55;464587;492865;25,187;407,81;0;5,0781;5,8594;86;89;55;57;463305;493450;26,268;407,62;0;5,0781;5,8594;87;91;56;52;569937;612123;29,882;407,47;0;6,6406;6,6406;90;91;54;55;462105;495698;29,701;407,89;0;5,8594;5,8594;91;95;55;54;1327,475;1327,475;79,25;36,07
15.10.2024;09:10:24;3327,04;28,5735;407,7;80,18;0;0;36,07;46,0563;19,51;16619202;2,3933;-0,8086;-6,3159;462019;495462;29,319;407,72;0;5,0781;5,8594;89;93;59;58;568604;612814;30,911;407,58;0;5,8594;6,6406;88;91;53;54;464219;493225;25,022;407,83;0;5,0781;5,8594;88;90;54;51;463409;493228;26,342;407,67;0;5,0781;5,8594;86;91;58;50;569670;612710;30,267;407,39;0;6,6406;6,6406;91;92;57;59;461883;495733;29,338;407,98;0;5,8594;5,8594;90;93;52;53;1330,83;1330,83;80,18;36,07
15.10.2024;09:10:25;3352,63;28,7933;407,62;81,11;0;0;36,07;46,0484;19,5;16731610;1,6336;0,6031;-6,8;461239;496110;29,802;407,84;0;5,0781;5,8594;88;94;59;49;568749;612850;31,342;407,53;0;5,8594;6,6406;89;91;57;59;464444;493247;25,426;407,74;0;5,0781;5,8594;89;91;52;55;463312;493978;26,19;407,42;0;5,0781;5,8594;87;89;57;55;569861;612605;30,195;407,36;0;6,6406;6,6406;91;92;52;58;462140;495745;29,666;407,87;0;5,8594;5,8594;90;93;58;53;1339,045;1339,53;81,11;36,07
15.10.2024;09:10:26;3376,22;28,9959;407,58;82,04;0;0;36,07;46,0484;19,5;16848388;3,4199;0,5895;-6,548;461773;495432;30,345;407,87;0;5,0781;5,8594;89;93;58;54;568942;612824;31,054;407,44;0;5,8594;6,6406;88;93;60;53;464156;493631;25,621;407,72;0;5,0781;5,8594;87;90;52;56;463707;493731;26,719;407,35;0;5,0781;5,8594;88;92;56;50;569837;612678;30,235;407,36;0;6,6406;6,6406;91;91;58;52;462094;496114;29,556;407,75;0;5,8594;5,8594;90;94;55;54;1348,845;1348,845;82,04;36,07
15.10.2024;09:10:27;3372,23;28,9616;407,68;82,98;0;0;36,07;46,0563;19,5;16837341;0,5119;-0,497;-6,4025;461778;495874;29,542;407,68;0;5,0781;5,8594;89;93;56;55;568770;612696;31,252;407,6;0;5,8594;6,6406;89;91;53;63;464278;493461;25,703;407,72;0;5,0781;5,8594;86;89;50;54;462925;493728;26,417;407,71;0;5,0781;5,8594;86;91;57;55;569672;612495;30,541;407,48;0;6,6406;6,6406;90;92;58;54;461941;496030;29,971;407,85;0;5,8594;5,8594;90;94;58;51;1349,34;1349,34;82,98;36,07
15.10.2024;09:10:28;3380,91;29,0361;407,64;83,92;0;0;36,07;46,0563;19,5;16883586;3,3244;-0,6624;-6,2778;462153;495689;29,932;407,59;0;5,0781;5,8594;89;92;59;56;568626;613104;31,206;407,5;0;5,8594;6,6406;89;93;52;53;464404;493253;25,391;407,76;0;5,0781;6,6406;87;88;53;56;463137;493583;27,039;407,68;0;5,0781;5,8594;87;91;57;53;569723;612771;30,32;407,37;0;6,6406;6,6406;90;91;55;57;461967;495549;29,747;408,04;0;5,8594;5,8594;90;93;50;50;1351,815;1352,31;83,92;36,07
15.10.2024;09:10:29;3364,3;28,8935;407,59;84,85;0;0;36,07;46,0484;19,5;16815117;0,8408;0,2697;-6,238;462029;495525;29,371;407,71;0;5,0781;5,8594;90;94;54;49;568691;613096;31,355;407,46;0;5,8594;6,6406;89;92;54;55;464543;493441;25,538;407,61;0;5,0781;6,6406;88;89;63;54;463532;493391;26,159;407,56;0;5,0781;5,8594;87;92;56;54;569763;612625;30,344;407,39;0;6,6406;6,6406;92;92;51;53;462184;496008;29,529;407,74;0;5,8594;5,8594;91;94;51;53;1347,365;1347,365;84,85;36,07
15.10.2024;09:10:30;3361,47;28,8693;407,73;85,79;0;0;36,07;46,0484;19,49;16772298;2,9979;-0,3284;-6,561;461520;496055;29,842;407,73;0;5,0781;5,8594;91;93;50;55;568761;612967;31,437;407,49;0;5,8594;6,6406;89;92;52;50;464426;492766;25,231;407,94;0;5,0781;6,6406;86;90;59;58;462594;493118;26,71;408,11;0;5,0781;5,8594;88;89;55;53;569819;612762;30,41;407,33;0;6,6406;6,6406;91;92;54;54;462196;495905;29,675;407,78;0;5,8594;5,8594;91;96;55;45;1343,44;1343,44;85,79;36,07
15.10.2024;09:10:31;3376,22;28,9959;407,71;86,72;0;0;36,07;46,0524;19,49;16856451;4,6497;0,0737;-7,5162;461587;496457;30,645;407,55;0;5,0781;5,8594;88;94;56;51;569004;613260;31,198;407,33;0;5,8594;6,6406;88;92;53;53;463928;492682;25,031;408,22;0;5,0781;6,6406;86;91;56;50;462646;493393;26,725;407,98;0;5,0781;5,8594;88;93;61;48;569959;612896;30,295;407,24;0;6,6406;6,6406;90;91;54;57;462036;495737;29,79;407,93;0;5,8594;5,8594;90;93;48;56;1349,835;1349,835;86,72;36,07
15.10.2024;09:10:32;3386,67;29,0856;407,66;87,66;0;0;36,07;46,0524;19,49;16910973;3,5974;-0,2332;-6,6182;461338;495561;30,101;408,03;0;5,0781;5,8594;90;92;50;53;568533;612923;31,455;407,57;0;5,8594;6,6406;89;92;59;54;464465;493260;25,29;407,73;0;5,0781;6,6406;88;87;52;56;463112;493904;26,918;407,56;0;5,0781;5,8594;87;92;54;50;569744;612631;30,382;407,41;0;6,6406;6,6406;90;93;57;56;461947;496339;29,749;407,73;0;5,8594;5,8594;91;92;51;51;1353,8;1354,295;87,66;36,07
15.10.2024;09:10:33;3395,71;29,1633;407,62;88,6;0;0;36,07;46,0484;19,49;16945062;2,8605;-0,0445;-7,104;461783;496515;30,482;407,44;0;5,0781;5,8594;90;93;55;51;568328;613209;31,501;407,59;0;5,8594;6,6406;89;92;54;51;464018;493775;25,581;407,74;0;5,0781;6,6406;87;91;52;46;462830;493928;27,016;407,69;0;5,0781;6,6406;88;94;58;45;569639;612500;30,269;407,5;0;6,6406;6,6406;91;92;55;58;461952;496274;30,318;407,76;0;5,8594;5,8594;90;92;50;57;1356,79;1356,79;88,6;36,07
15.10.2024;09:10:34;3425,79;29,4216;407,63;89,55;0;0;36,07;46,0445;19,49;17098396;2,8545;-0,3536;-6,4839;461529;496226;30,434;407,69;0;5,0781;5,8594;88;92;57;52;568509;612792;31,606;407,67;0;5,8594;6,6406;88;93;59;52;464345;493327;25,889;407,78;0;5,0781;6,6406;87;89;52;59;462965;494003;27,325;407,61;0;5,0781;6,6406;88;92;55;50;569505;613104;30,649;407,37;0;6,6406;6,6406;90;91;53;54;461906;496552;30,267;407,68;0;5,8594;5,8594;92;94;52;51;1368,37;1368,37;89,55;36,07
15.10.2024;09:10:35;3418,66;29,3604;407,64;90,5;0;0;36,07;46,0445;19,49;17074746;3,732;-1,0859;-6,6017;461416;495887;30,27;407,88;0;5,0781;6,6406;89;94;57;50;568561;613444;31,573;407,43;0;5,8594;6,6406;89;92;55;60;464409;493547;25,422;407,66;0;5,0781;6,6406;87;89;58;58;462973;493478;27,349;407,82;0;5,0781;6,6406;88;90;57;50;569607;613265;30,75;407,27;0;6,6406;6,6406;91;92;57;58;461941;496039;30,124;407,87;0;5,8594;5,8594;89;94;59;48;1367,865;1368,37;90,5;36,07
15.10.2024;09:10:36;3412,75;29,3096;407,63;91,45;0;0;36,07;46,0445;19,48;17040081;2,1347;0,7398;-7,1863;461325;496205;30,616;407,78;0;5,0781;6,6406;88;91;57;56;568477;613563;31,612;407,43;0;5,8594;6,6406;89;91;54;55;464035;494023;25,87;407,63;0;5,0781;6,6406;87;91;54;58;463058;493631;26,512;407,7;0;5,0781;6,6406;88;92;57;48;569437;613099;30,875;407,38;0;6,6406;6,6406;91;92;53;55;461647;496360;30,064;407,87;0;5,8594;5,8594;89;93;53;57;1365,33;1365,33;91,45;36,07
15.10.2024;09:10:37;3442,31;29,5635;407,68;92,4;0;0;36,07;46,0524;19,48;17175847;1,5975;0,234;-6,9135;461330;496190;30,631;407,8;0;5,0781;6,6406;89;93;53;54;568306;613490;31,836;407,52;0;5,8594;6,6406;88;93;56;53;464145;493554;26,186;407,79;0;5,0781;6,6406;88;91;53;57;463011;494043;27,051;407,58;0;5,0781;6,6406;87;89;50;53;569320;612493;30,806;407,65;0;6,6406;6,6406;91;93;53;52;461744;496332;30,589;407,86;0;5,8594;5,8594;90;92;55;53;1374,495;1374,495;92,4;36,07
15.10.2024;09:10:38;3439,89;29,5428;407,71;93,36;0;0;36,07;46,0524;19,48;17181158;2,1108;-0,4775;-7,1525;461383;495770;30,476;407,95;0;5,0781;6,6406;88;94;49;50;568433;613561;31,931;407,49;0;5,8594;6,6406;90;93;55;52;464254;493552;25,751;407,74;0;5,0781;6,6406;87;91;53;57;462909;493780;27,14;407,73;0;5,0781;6,6406;88;91;53;51;569309;612954;30,767;407,5;0;6,6406;6,6406;92;92;51;58;461511;496552;30,674;407,88;0;5,8594;5,8594;90;93;49;55;1376,035;1376,035;93,36;36,07
15.10.2024;09:10:39;3435,69;29,5066;407,55;94,32;0;0;36,07;46,0524;19,48;17164877;3,6437;-0,4547;-6,3263;461170;496561;30,486;407,73;0;5,0781;6,6406;90;94;54;48;568777;613634;31,704;407,31;0;5,8594;6,6406;89;92;59;58;464112;493647;25,814;407,77;0;5,0781;6,6406;88;90;56;53;462864;494156;27,513;407,6;0;5,0781;6,6406;88;91;54;55;569672;613156;30,747;407,3;0;6,6406;6,6406;91;93;55;51;462300;496413;30,146;407,56;0;5,8594;5,8594;91;91;52;52;1375,005;1375,005;94,32;36,07
15.10.2024;09:10:40;3438,76;29,533;407,64;95,27;0;0;36,07;46,0484;19,48;17170255;3,8557;0,7292;-6,6779;461468;496618;30,839;407,57;0;5,0781;6,6406;89;93;56;52;568587;614045;31,938;407,26;0;5,8594;6,6406;88;93;56;53;464266;492994;25,905;407,96;0;5,0781;6,6406;87;90;55;55;462945;494121;27,261;407,58;0;5,0781;6,6406;87;93;55;53;569432;612941;30,741;407,46;0;6,6406;6,6406;90;91;57;53;461782;495879;30,038;408,02;0;5,8594;5,8594;90;94;58;52;1375,005;1375,005;95,27;36,07
15.10.2024;09:10:41;3431,42;29,47;407,68;96,22;0;0;36,07;46,0484;19,48;17139837;5,5058;-0,6534;-7,5656;460991;496384;30,882;407,88;0;5,0781;6,6406;87;93;59;51;568433;613895;32,002;407,34;0;5,8594;6,6406;88;91;57;52;464148;493229;24,995;407,91;0;5,0781;6,6406;87;91;55;53;462710;494073;27,334;407,7;0;5,0781;6,6406;88;89;60;54;569361;613066;30,94;407,44;0;6,6406;6,6406;92;93;56;49;461659;496358;30,183;407,88;0;5,8594;5,8594;90;94;55;49;1372,96;1372,96;96,22;36,07
15.10.2024;09:10:42;3454,97;29,6722;407,69;97,18;0;0;36,07;46,0445;19,48;17242320;3,3416;0,3248;-7,1516;461156;496226;31,015;407,88;0;5,0781;6,6406;87;91;51;56;568253;613890;32,007;407,4;0;5,8594;6,6406;89;92;52;57;464208;493755;25,944;407,68;0;5,0781;6,6406;86;88;52;57;462846;493647;27,249;407,82;0;5,0781;6,6406;88;93;52;53;569060;612994;30,993;407,58;0;6,6406;6,6406;91;92;59;59;461773;496375;30,436;407,83;0;5,8594;5,8594;86;94;55;56;1379,64;1379,64;97,18;36,07
